ID,Start time,Completion time,Email,Name,Which gender are you?,Which age bracket do you fall into?,What’s your employment status?,What’s your highest educational level?,What's your monthly income level?,Which digital marketing channels do you most frequently use to seek information about tech repair services? (Select all that apply),Have you heard of a tech repair company called GAMP?,Have you ever purchased or booked a service with GAMP Technology Limited directly through their digital marketing channels?,"If yes, what motivated you to purchase or book a service through their digital marketing channels?",How often do you encounter digital marketing content related to tech repair services from GAMP Technology Limited?,Which digital marketing channel do you find most informative or influential when seeking information about tech repair services?,How likely are you to engage with digital marketing content from GAMP Technology Limited on social media platforms?,Do you trust the digital marketing content from GAMP Technology Limited to provide accurate information about their tech repair services?,Have you ever been influenced by digital marketing campaigns to seek tech repair services from GAMP Technology Limited?,"On a scale of 1 to 5, how would you rate the influence of digital marketing campaigns on your decision to seek tech repair services from GAMP Technology Limited?
",How often do you click on digital advertisements from GAMP Technology Limited to learn more about their services?,Which aspect of GAMP Technology Limited's digital marketing campaigns appeals to you the most when considering their tech repair services? (Select all that apply),How likely are you to recommend GAMP Technology Limited to others based on the effectiveness of their digital marketing campaigns?,How do you perceive GAMP Technology Limited's digital marketing campaigns compared to their known competitors (such as Carlcare) or less-known repairers?,How did you become aware of GAMP Technology Limited? (Select all that apply),"On a scale of 1 to 5, how satisfied are you with the consistency of GAMP Technology Limited's digital marketing efforts?",How frequently do you engage with GAMP Technology Limited's digital marketing content?,What factors contribute to your continued engagement and loyalty to GAMP Technology Limited? (Select all that apply),How likely are you to switch to a known competitor (Carlcare) or less-known repairers if you find their digital marketing efforts more appealing than those of GAMP Technology Limited?,Are there any services that GAMP Technology Limited does not provide right now and should provide?,How else can GAMP Technology Limited improve on its digital marketing efforts to serve you better?
51,5/23/24 10:59:01,5/23/24 11:01:36,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Often,Strongly Agree,Yes,5,Always,Company credibility;,Always,Similar,Through social media advertisements;,4 (Satisfied),Occasionally,Quality of service;,Neutral,None,                 
52,5/23/24 11:02:15,5/23/24 11:07:28,anonymous,,Female,25-34,Part-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Strongly Disagree,No,1,Never,Wide online reach;,Never,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Convenience of booking or purchasing process;,Very unlikely,I haven’t heard of GAMP Technology until now.,Increase their marketing effort and work with more gadget businesses
53,5/23/24 11:12:30,5/23/24 11:16:08,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",Yes,Clear and informative content,A few times a week,Social media platforms,Often,Agree,No,1,Rarely,Company credibility;Informative content;Promotional offers;,Often,Superior,"Through social media advertisements;Through WhatsApp/Telegram/Discord communities;Through offline advertising (billboards, flyers, etc.);",4 (Satisfied),Frequently,Quality of service;Reliability of service;Brand reputation;,Unlikely,NIL,NIL
54,5/23/24 11:51:48,5/23/24 12:03:04,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Positive reviews or testimonials,A few times a week,Search engines,Often,Agree,No,1,Frequently,Company credibility;Wide online reach;,Always,Incomparable,Through advertising on websites;,4 (Satisfied),Frequently,Quality of service;Credibility of digital marketing campaigns;Customer service experience;,Very unlikely,None,Very effective 
55,5/23/24 12:18:27,5/23/24 12:23:05,anonymous,,Female,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,Informative content;,Rarely,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;Brand reputation;Credibility of digital marketing campaigns;,Neutral,None,Neutral 
56,5/23/24 12:49:50,5/23/24 12:54:27,anonymous,,Female,18-24,Full-time,Bachelor's degree,"Below ?50,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,3,Never,"Informative content;Promotional offers;Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Brand reputation;Quality of service;Reliability of service;,Neutral,Nill,Nill
57,5/23/24 14:33:08,5/23/24 14:39:59,anonymous,,Female,25-34,Unemployed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Rarely,Neutral,No,3,Never,"Interactive features (polls, quizzes, etc.);Company credibility;",Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Reliability of service;Credibility of digital marketing campaigns;,Neutral,No ,More awareness 
58,5/23/24 14:31:23,5/23/24 14:40:17,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,2,Rarely,"Interactive features (polls, quizzes, etc.);Informative content;Wide online reach;",Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Reliability of service;,Neutral,Nil,Nil
59,5/23/24 14:47:05,5/23/24 14:49:43,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;Email Communication;","Yes, I have",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Never,Neutral,No,1,Occasionally,Promotional offers;,Sometimes,Not sure,Through social media advertisements;,1 (Very Dissatisfied),Never,Quality of service;,Very unlikely,None,None
60,5/23/24 14:49:03,5/23/24 14:54:23,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,3,Rarely,Informative content;Company credibility;,Often,Not sure,Through social media advertisements;Through search engine results;Through email communication;Through recommendations from friends or family;Through advertising on websites;Through expert (tech/gadget sales) platforms;Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Reliability of service;Customer service experience;Brand reputation;,Neutral,Not sure,Awareness 
61,5/23/24 15:55:41,5/23/24 16:01:09,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000",Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;,"Yes, I have",Yes,Clear and informative content,A few times a week,WhatsApp/Telegram/Discord Communities,Rarely,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Brand reputation;,Very likely,I do not know teh services GAMP provides,Probably marketing on instagram as I see more content related to tech on there
62,5/23/24 17:18:32,5/23/24 17:30:04,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Agree,No,3,Rarely,"Promotional offers;Interactive features (polls, quizzes, etc.);",Sometimes,Similar,Through recommendations from friends or family;Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Rarely,Convenience of booking or purchasing process;Quality of service;Customer service experience;,Neutral,No,Offer Discounts or promotions 
63,5/23/24 19:16:46,5/23/24 19:21:21,anonymous,,Female,18-24,Full-time,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,Wide online reach;,Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Neutral,None that I know of ,More advertising as I don't know what GAMP Technology Limited is?
64,5/23/24 22:23:09,5/23/24 22:27:13,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Advertising on Websites;Expert (Tech/Gadget sales) platforms;WhatsApp/Telegram/Discord communities;","Yes, I have",Yes,Positive reviews or testimonials,Rarely or Never,Search engines,Always,Neutral,No,3,Rarely,Company credibility;,Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Quality of service;,Unlikely,Not that I know of ,Not sure
65,5/23/24 22:51:02,5/23/24 22:54:17,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,None of the above,A few times a week,Social media platforms,Never,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Neutral,not sure ,not sure
66,5/24/24 8:07:20,5/24/24 8:10:23,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Customer service experience;,Very likely,None,None
67,5/24/24 8:48:29,5/24/24 8:54:20,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Often,Agree,No,3,Occasionally,"Appealing visuals and designs;Interactive features (polls, quizzes, etc.);Informative content;",Often,Superior,"Through social media advertisements;Through offline advertising (billboards, flyers, etc.);Through WhatsApp/Telegram/Discord communities;",4 (Satisfied),Frequently,Brand reputation;Quality of service;,Unlikely,Non that I am aware of ,More publicity 
68,5/24/24 8:51:21,5/24/24 8:54:52,anonymous,,Female,18-24,Student,Master's degree or higher,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Email Communication;WhatsApp/Telegram/Discord communities;","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Always,Strongly Agree,Yes,5,Occasionally,Company credibility;Informative content;Appealing visuals and designs;,Always,Superior,"Through social media advertisements;Through recommendations from friends or family;Through offline advertising (billboards, flyers, etc.);",4 (Satisfied),Occasionally,Reliability of service;Customer service experience;Quality of service;,Neutral,No,More social media outreach 
69,5/24/24 8:55:44,5/24/24 8:59:27,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Never,Informative content;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Quality of service;Reliability of service;,Neutral,Not sure,I haven't tried them yet so I'm on the fence about it
70,5/24/24 9:05:01,5/24/24 9:16:24,anonymous,,Male,18-24,Part-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,A few times a week,Search engines,Never,Neutral,No,3,Rarely,Informative content;Appealing visuals and designs;,Rarely,Inferior,Through recommendations from friends or family;,3 (Not sure),Rarely,Reliability of service;Quality of service;Brand reputation;,Neutral,Don’t know ,No idea 
71,5/24/24 20:11:13,5/24/24 20:14:24,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,2,Never,Promotional offers;,Rarely,Not sure,Through social media advertisements;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Neutral,.,.
72,5/25/24 11:13:40,5/25/24 11:16:57,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Email Communication;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Agree,Yes,2,Never,Appealing visuals and designs;,Rarely,Similar,Through WhatsApp/Telegram/Discord communities;Through social media advertisements;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Likely,Nil ,Not sure 
73,5/25/24 11:49:57,5/25/24 11:54:40,anonymous,,Female,25-34,Self-employed,Master's degree or higher,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;","Yes, I have",Yes,Clear and informative content,Rarely or Never,Search engines,Never,Neutral,No,2,Never,Informative content;,Rarely,Not sure,"Through advertising on websites;Through search engine results;Through social media advertisements;Through offline advertising (billboards, flyers, etc.);",2 (Dissatisfied),Rarely,Brand reputation;Customer service experience;,Very unlikely,Nil,Nil
74,5/25/24 14:05:26,5/25/24 14:10:20,anonymous,,Male,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,2,Never,Informative content;,Sometimes,Not sure,Through search engine results;,3 (Not sure),Never,Convenience of booking or purchasing process;,Neutral,Nil,Nil
75,5/27/24 16:38:27,5/27/24 16:42:23,anonymous,,Female,18-24,Full-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Always,Wide online reach;,Never,Not sure,Through search engine results;,3 (Not sure),Never,Brand reputation;,Very likely,I do not even know about GAMP,"Honestly, I would not know "
76,5/27/24 16:43:19,5/27/24 16:48:53,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Always,Agree,No,4,Occasionally,"Informative content;Promotional offers;Interactive features (polls, quizzes, etc.);Wide online reach;Appealing visuals and designs;Company credibility;",Always,Superior,Through social media advertisements;,4 (Satisfied),Frequently,Quality of service;Convenience of booking or purchasing process;Credibility of digital marketing campaigns;Reliability of service;Discounts or promotions offered;Brand reputation;,Neutral,Not any i know of now,Cannot say for now 
77,5/27/24 16:45:02,5/27/24 16:48:55,anonymous,,Male,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Several times a day,Social media platforms,Sometimes,Neutral,No,3,Never,Appealing visuals and designs;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Convenience of booking or purchasing process;,Likely,I can't say,I don't know
78,5/27/24 16:46:54,5/27/24 16:49:19,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Search engines,Often,Agree,No,5,Rarely,Informative content;,Often,Not sure,Through email communication;,4 (Satisfied),Rarely,Reliability of service;,Likely,No,Nil
79,5/27/24 16:43:22,5/27/24 16:51:34,anonymous,,Male,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",No,None of the above,Rarely or Never,Search engines,Often,Agree,No,4,Rarely,Promotional offers;,Often,Similar,Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Occasionally,Brand reputation;,Very unlikely,none at the moment.,create more engaging educative audio-visual content.
80,5/27/24 16:52:18,5/27/24 16:58:36,anonymous,,Female,25-34,Part-time,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Often,Agree,No,3,Never,Wide online reach;,Often,Similar,Through social media advertisements;,3 (Not sure),Rarely,Reliability of service;Brand reputation;,Neutral,None,More quality service
81,5/27/24 16:43:00,5/27/24 16:59:19,anonymous,,Female,18-24,Unemployed,Bachelor's degree,"Below ?50,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","Yes, I have",No,None of the above,Rarely or Never,Search engines,Never,Disagree,No,1,Never,Informative content;,Never,Not sure,Through search engine results;,3 (Not sure),Never,Credibility of digital marketing campaigns;,Likely,No,Nil 
82,5/27/24 17:18:12,5/27/24 17:21:12,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,"Through offline advertising (billboards, flyers, etc.);",1 (Very Dissatisfied),Never,Customer service experience;,Unlikely,N/A,N/A
83,5/27/24 17:20:21,5/27/24 17:25:24,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Clear and informative content,A few times a week,Social media platforms,Sometimes,Neutral,No,1,Never,Informative content;,Sometimes,Not sure,Through recommendations from friends or family;,3 (Not sure),Occasionally,Brand reputation;,Likely,.,.
84,5/27/24 17:22:19,5/27/24 17:26:07,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Sometimes,Neutral,No,2,Never,Appealing visuals and designs;Promotional offers;,Often,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Quality of service;Reliability of service;Discounts or promotions offered;Brand reputation;Customer service experience;Convenience of booking or purchasing process;,Neutral,Nil,Nil
85,5/27/24 17:29:27,5/27/24 17:32:47,anonymous,,Female,18-24,Student,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Appealing offers or discounts,Rarely or Never,Social media platforms,Rarely,Agree,No,2,Rarely,Promotional offers;,Often,Similar,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;,Neutral,None ,I really don’t know about it 
86,5/27/24 17:42:18,5/27/24 17:46:38,anonymous,,Female,25-34,Student,Bachelor's degree,"Below ?50,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Agree,No,5,Never,"Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through social media advertisements;,4 (Satisfied),Never,Quality of service;Reliability of service;Customer service experience;Brand reputation;,Likely,No,Impose it more often
87,5/27/24 17:46:38,5/27/24 17:50:16,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,Informative content;,Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Never,Quality of service;,Neutral,No,No
88,5/27/24 17:54:26,5/27/24 17:59:05,anonymous,,Female,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Advertising on Websites;Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Agree,No,4,Never,Company credibility;Informative content;,Always,Superior,Through recommendations from friends or family;,4 (Satisfied),Never,Customer service experience;Brand reputation;,Unlikely,N/A,N/A
89,5/27/24 17:52:00,5/27/24 17:59:18,anonymous,,Male,35-44,Self-employed,Master's degree or higher,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);Email Communication;WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Often,Strongly Agree,Yes,5,Occasionally,"Informative content;Wide online reach;Appealing visuals and designs;Promotional offers;Company credibility;Interactive features (polls, quizzes, etc.);",Always,Superior,Through social media advertisements;Through WhatsApp/Telegram/Discord communities;,5 (Very Satisfied),Occasionally,Quality of service;Credibility of digital marketing campaigns;Discounts or promotions offered;Convenience of booking or purchasing process;Customer service experience;Brand reputation;Reliability of service;,Neutral,Neutral ,Neutral 
90,5/27/24 18:10:07,5/27/24 18:12:37,anonymous,,Female,18-24,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Ease of booking or purchasing process,Rarely or Never,Social media platforms,Never,Strongly Disagree,No,1,Never,"Interactive features (polls, quizzes, etc.);",Rarely,Not sure,Through social media advertisements;,2 (Dissatisfied),Never,Brand reputation;,Very unlikely,no,no
91,5/27/24 17:59:56,5/27/24 18:21:22,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Once a week,Social media platforms,Rarely,Agree,No,3,Rarely,Appealing visuals and designs;,Sometimes,Superior,Through social media advertisements;Through recommendations from friends or family;,4 (Satisfied),Rarely,Quality of service;Reliability of service;Credibility of digital marketing campaigns;Customer service experience;Discounts or promotions offered;Brand reputation;Convenience of booking or purchasing process;,Likely,NIL,NIL
92,5/27/24 18:30:52,5/27/24 18:41:36,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Agree,No,5,Never,Company credibility;Informative content;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,5 (Very Satisfied),Never,Quality of service;,Very unlikely,Nope,Nope
93,5/27/24 17:57:46,5/27/24 19:02:34,anonymous,,Female,25-34,Full-time,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Never,Neutral,No,3,Never,"Interactive features (polls, quizzes, etc.);",Sometimes,Similar,Through recommendations from friends or family;,3 (Not sure),Never,Reliability of service;Customer service experience;,Neutral,Na,N/a
94,5/27/24 18:34:13,5/27/24 19:03:54,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Sometimes,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Quality of service;,Very likely,Not aware ,More adverts as I don't know about the brand
95,5/27/24 19:06:07,5/27/24 19:12:31,anonymous,,Male,35-44,Full-time,Bachelor's degree,"?100,001 - ?200,000","Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,4,Rarely,Promotional offers;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Brand reputation;,Neutral,Not sure,Timely repairs 
96,5/27/24 19:32:05,5/27/24 19:35:11,anonymous,,Female,18-24,Self-employed,Bachelor's degree,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,Rarely or Never,Social media platforms,Rarely,Neutral,No,1,Never,Informative content;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Rarely,Quality of service;,Neutral,I’m not sure of this,Reaching a wider audience 
97,5/27/24 19:46:42,5/27/24 19:49:22,anonymous,,Female,18-24,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",Yes,Ease of booking or purchasing process,Rarely or Never,Social media platforms,Never,Strongly Agree,Yes,2,Never,Informative content;,Always,Superior,Through social media advertisements;Through search engine results;,1 (Very Dissatisfied),Rarely,Quality of service;,Very unlikely,Nil ,Nil 
98,5/27/24 20:18:47,5/27/24 20:22:42,anonymous,,Female,25-34,Unemployed,Bachelor's degree,"?50,001 - ?100,000","Search engines (Google, Bing, etc.);Expert (Tech/Gadget sales) platforms;","No, I have not",No,None of the above,Rarely or Never,Advertising on Websites,Never,Neutral,No,3,Rarely,Informative content;,Rarely,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Reliability of service;,Neutral,N/a,N/a
99,5/27/24 21:21:55,5/27/24 21:25:43,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Rarely,Wide online reach;Informative content;,Often,Not sure,Through social media advertisements;,3 (Not sure),Rarely,Quality of service;,Likely,Not sure ,Not sure 
100,5/27/24 22:06:43,5/27/24 22:10:35,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"Above ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",Yes,Ease of booking or purchasing process,Rarely or Never,WhatsApp/Telegram/Discord Communities,Rarely,Strongly Disagree,No,4,Rarely,Appealing visuals and designs;,Sometimes,Similar,Through expert (tech/gadget sales) platforms;,4 (Satisfied),Frequently,Reliability of service;Customer service experience;,Unlikely,None,Not sure
101,5/27/24 22:00:22,5/27/24 22:14:09,anonymous,,Male,25-34,Full-time,Master's degree or higher,"Above ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,Once a week,Advertising on Websites,Sometimes,Neutral,Yes,3,Occasionally,Informative content;Promotional offers;Wide online reach;,Sometimes,Similar,Through social media advertisements;Through recommendations from friends or family;Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Occasionally,Brand reputation;,Neutral,N/a,N/a
102,5/28/24 2:11:36,5/28/24 2:15:00,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);WhatsApp/Telegram/Discord communities;Search engines (Google, Bing, etc.);Advertising on Websites;Email Communication;","Yes, I have",No,None of the above,A few times a week,Social media platforms,Rarely,Neutral,Yes,4,Occasionally,Informative content;,Often,Similar,Through social media advertisements;,4 (Satisfied),Rarely,Quality of service;,Unlikely,None,None
103,5/28/24 9:36:13,5/28/24 10:58:10,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);WhatsApp/Telegram/Discord communities;","No, I have not",No,None of the above,Rarely or Never,WhatsApp/Telegram/Discord Communities,Sometimes,Strongly Disagree,No,1,Never,Informative content;Company credibility;,Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Quality of service;Reliability of service;Customer service experience;Brand reputation;,Neutral,non,NIl
104,5/28/24 16:56:30,5/28/24 17:01:51,anonymous,,Male,25-34,Self-employed,Bachelor's degree,"Below ?50,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Never,Neutral,No,1,Never,"Interactive features (polls, quizzes, etc.);",Never,Not sure,Through WhatsApp/Telegram/Discord communities;,3 (Not sure),Never,Convenience of booking or purchasing process;,Neutral,Not sure,Not sure 
